jobtitle,count
"Web Developer IV",58
"Web Developer III",53
"Web Developer II",66
"Web Developer I",79
"Web Designer IV",5
"Web Designer III",10
"Web Designer II",3
"Web Designer I",27
"VP Sales",5
"VP Quality Control",34
"VP Product Management",31
"VP of Training and Development",1
"VP Marketing",38
"VP Accounting",65
"Training Manager",149
"Trainer III",139
"Trainer II",149
"Trainer I",152
"Tax Accountant",230
"Systems Administrator IV",63
"Systems Administrator III",72
"Systems Administrator II",54
"Systems Administrator I",302
"Support Staff III",16
"Support Staff II",45
"Support Staff",75
"Structural Engineer",249
"Structural Analysis Engineer",36
"Statistician III",2
"Statistician II",10
"Statistician I",10
"Staff Scientist",26
"Staff Accountant IV",83
"Staff Accountant III",77
"Staff Accountant II",65
"Staff Accountant I",364
"Solutions Engineer Manager",164
"Solutions Engineer",170
"Software Test Engineer IV",74
"Software Test Engineer III",65
"Software Test Engineer II",53
"Software Test Engineer I",65
"Software Engineer IV",70
"Software Engineer III",82
"Software Engineer II",70
"Software Engineer I",308
"Software Consultant",262
"Service Tech III",268
"Service Tech II",265
"Service Tech",254
"Service Manager",267
"Service Coordinator",259
"Senior Trainer",147
"Senior Sales Associate",12
"Senior Recruiter",165
"Senior Quality Engineer",114
"Senior Financial Analyst",47
"Senior Editor",120
"Senior Developer",281
"Senior Cost Accountant",248
"Senior Attorney",32
"Sales Representative",3
"Sales Associate",4
"Research Associate",164
"Research Assistant IV",6
"Research Assistant III",15
"Research Assistant II",608
"Research Assistant I",408
"Research Assistant",30
"Relationshiop Manager",164
"Recruiting Manager",19
Recruiter,184
"Quality Engineer",52
"Quality Control Specialist",104
"Project Manager",269
"Programmer IV",50
"Programmer III",65
"Programmer II",69
"Programmer I",70
"Programmer Analyst IV",64
"Programmer Analyst III",66
"Programmer Analyst II",77
"Programmer Analyst I",74
"Product Engineer",46
"Pre-Sales Consultant",169
"Payment Adjustment Coordinator",16
Paralegal,48
Operator,170
"Office Assistant IV",1
"Office Assistant I",6
"Media Manager II",41
"Media Manager I",108
"Mechanical Systems Engineer",21
"Marketing Manager",1
"Marketing Assistant",8
Librarian,20
"Legal Assistant",16
"Junior Trainer",135
"Internal Auditor",38
"Information Systems Manager",31
"Human Resources Manager",53
"Human Resources Assistant IV",9
"Human Resources Assistant III",13
"Human Resources Assistant II",10
"Human Resources Assistant I",10
"Human Resources Analyst II",477
"Human Resources Analyst",324
"HR Manager",162
"Help Desk Technician",266
"Help Desk Operator",70
"Graphic Designer",9
"General Manager",21
"Financial Analyst",48
"Financial Advisor",26
"Executive Assistant",31
"Engineer IV",1
"Engineer III",5
"Engineer II",4
"Engineer I",7
"Electrical Engineer",22
Editor,69
"Director of Sales",8
"Developer IV",59
"Developer III",62
"Developer II",53
"Developer I",69
"Desktop Support Technician",242
"Design Engineer",41
"Database Administrator IV",69
"Database Administrator III",67
"Database Administrator II",68
"Database Administrator I",64
"Data Visualization Specialist",346
"Data Coordiator",284
"Customer Success Manager",151
"Cost Accountant",240
"Content Developer III",42
"Content Developer II",43
"Content Developer",42
"Computer Systems Analyst IV",53
"Computer Systems Analyst III",55
"Computer Systems Analyst II",75
"Computer Systems Analyst I",71
"Compensation Analyst",25
"Community Outreach Specialist",21
"Chief Design Engineer",76
"Business Systems Development Analyst",272
"Business Development Manager",5
"Business Analyst",552
"Budget/Accounting Analyst IV",135
"Budget/Accounting Analyst III",130
"Budget/Accounting Analyst II",130
"Budget/Accounting Analyst I",120
"Automation Specialist IV",15
"Automation Specialist III",11
"Automation Specialist II",26
"Automation Specialist I",22
Attorney,33
"Associate Professor",1
"Assistant Trainer",139
"Assistant Professor",1
"Assistant Manager",39
"Analyst Programmer",290
"Analog Circuit Design manager",36
"Administrative Officer",45
"Administrative Assistant IV",6
"Administrative Assistant III",14
"Administrative Assistant II",37
"Administrative Assistant I",154
"Administrative Assistant",27
Actuary,20
"Accounting Assistant IV",68
"Accounting Assistant III",59
"Accounting Assistant II",69
"Accounting Assistant I",74
"Accountant IV",70
"Accountant III",71
"Accountant II",65
"Accountant I",62
"Account Manager",188
"Account Executive",386
"Account Coordinator",2
